MESEC;OBČINE;0 Država - SKUPAJ Prihodi turistov;0 Država - SKUPAJ Prenočitve turistov;1 DOMAČI Prihodi turistov;1 DOMAČI Prenočitve turistov;2 TUJI Prihodi turistov;2 TUJI Prenočitve turistov;2.1 Avstrija Prihodi turistov;2.1 Avstrija Prenočitve turistov;2.2 Belgija Prihodi turistov;2.2 Belgija Prenočitve turistov;2.3 Bolgarija Prihodi turistov;2.3 Bolgarija Prenočitve turistov;2.4 Bosna in Hercegovina Prihodi turistov;2.4 Bosna in Hercegovina Prenočitve turistov;2.5 Ciper Prihodi turistov;2.5 Ciper Prenočitve turistov;2.6 Češka republika Prihodi turistov;2.6 Češka republika Prenočitve turistov;2.7 Črna gora Prihodi turistov;2.7 Črna gora Prenočitve turistov;2.8 Danska Prihodi turistov;2.8 Danska Prenočitve turistov;2.9 Estonija Prihodi turistov;2.9 Estonija Prenočitve turistov;2.10 Finska Prihodi turistov;2.10 Finska Prenočitve turistov;2.11 Francija Prihodi turistov;2.11 Francija Prenočitve turistov;2.12 Grčija Prihodi turistov;2.12 Grčija Prenočitve turistov;2.13 Hrvaška Prihodi turistov;2.13 Hrvaška Prenočitve turistov;2.14 Irska Prihodi turistov;2.14 Irska Prenočitve turistov;2.15 Islandija Prihodi turistov;2.15 Islandija Prenočitve turistov;2.16 Italija Prihodi turistov;2.16 Italija Prenočitve turistov;2.17 Latvija Prihodi turistov;2.17 Latvija Prenočitve turistov;2.18 Litva Prihodi turistov;2.18 Litva Prenočitve turistov;2.19 Luksemburg Prihodi turistov;2.19 Luksemburg Prenočitve turistov;2.20 Madžarska Prihodi turistov;2.20 Madžarska Prenočitve turistov;2.21 Makedonija Prihodi turistov;2.21 Makedonija Prenočitve turistov;2.22 Malta Prihodi turistov;2.22 Malta Prenočitve turistov;2.23 Nemčija Prihodi turistov;2.23 Nemčija Prenočitve turistov;2.24 Nizozemska Prihodi turistov;2.24 Nizozemska Prenočitve turistov;2.25 Norveška Prihodi turistov;2.25 Norveška Prenočitve turistov;2.26 Poljska Prihodi turistov;2.26 Poljska Prenočitve turistov;2.27 Portugalska Prihodi turistov;2.27 Portugalska Prenočitve turistov;2.28 Romunija Prihodi turistov;2.28 Romunija Prenočitve turistov;2.29 Ruska federacija Prihodi turistov;2.29 Ruska federacija Prenočitve turistov;2.30 Slovaška Prihodi turistov;2.30 Slovaška Prenočitve turistov;2.31 Srbija Prihodi turistov;2.31 Srbija Prenočitve turistov;2.32 Španija Prihodi turistov;2.32 Španija Prenočitve turistov;2.33 Švedska Prihodi turistov;2.33 Švedska Prenočitve turistov;2.34 Švica Prihodi turistov;2.34 Švica Prenočitve turistov;2.35 Turčija Prihodi turistov;2.35 Turčija Prenočitve turistov;2.36 Ukrajina Prihodi turistov;2.36 Ukrajina Prenočitve turistov;2.37 Združeno kraljestvo Prihodi turistov;2.37 Združeno kraljestvo Prenočitve turistov;2.38 Druge evropske države Prihodi turistov;2.38 Druge evropske države Prenočitve turistov;2.39 Južna Afrika Prihodi turistov;2.39 Južna Afrika Prenočitve turistov;2.40 Druge afriške države Prihodi turistov;2.40 Druge afriške države Prenočitve turistov;2.41 Avstralija Prihodi turistov;2.41 Avstralija Prenočitve turistov;2.42 Nova Zelandija Prihodi turistov;2.42 Nova Zelandija Prenočitve turistov;2.43 Druge države in ozemlja Oceanije Prihodi turistov;2.43 Druge države in ozemlja Oceanije Prenočitve turistov;2.44 Izrael Prihodi turistov;2.44 Izrael Prenočitve turistov;2.45 Japonska Prihodi turistov;2.45 Japonska Prenočitve turistov;2.46 Kitajska (Ljudska republika) Prihodi turistov;2.46 Kitajska (Ljudska republika) Prenočitve turistov;2.47 Koreja (Republika) Prihodi turistov;2.47 Koreja (Republika) Prenočitve turistov;2.48 Druge azijske države Prihodi turistov;2.48 Druge azijske države Prenočitve turistov;2.49 Brazilija Prihodi turistov;2.49 Brazilija Prenočitve turistov;2.50 Druge države Južne in Srednje Amerike Prihodi turistov;2.50 Druge države Južne in Srednje Amerike Prenočitve turistov;2.51 Kanada Prihodi turistov;2.51 Kanada Prenočitve turistov;2.52 Združene države (ZDA) Prihodi turistov;2.52 Združene države (ZDA) Prenočitve turistov;2.53 Druge države in ozemlja Severne Amerike Prihodi turistov;2.53 Druge države in ozemlja Severne Amerike Prenočitve turistov
2020M01;Tržič;125;397;54;66;71;331;3;3;-;-;-;-;16;75;-;-;0;1;-;-;-;-;-;-;-;-;-;-;-;-;19;63;1;2;-;-;13;66;-;-;0;1;-;-;2;6;-;-;0;20;4;36;-;-;-;-;-;-;-;-;2;7;0;5;1;1;9;9;0;24;-;-;-;-;-;-;-;-;0;9;-;-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020M02;Tržič;185;511;45;88;140;423;9;18;-;-;-;-;33;132;-;-;2;6;-;-;-;-;-;-;-;-;13;27;-;-;27;65;-;-;-;-;21;36;-;-;-;-;-;-;1;2;-;-;-;-;5;11;2;6;-;-;2;5;-;-;-;-;10;49;-;-;5;25;2;6;-;-;1;2;-;-;-;-;3;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;3;-;-;1;3;-;-;-;-
2020M03;Tržič;75;151;36;75;39;76;-;-;-;-;-;-;9;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;30;-;-;-;-;2;4;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;1;4;-;-;-;-;-;-;-;-;0;8;-;-;-;-;-;-;-;-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020M04;Tržič;0;0;-;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020M05;Tržič;59;118;51;92;8;26;-;-;-;-;-;-;4;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020M06;Tržič;445;1018;295;538;150;480;6;6;-;-;1;1;15;51;-;-;39;75;-;-;-;-;-;-;-;-;2;4;-;-;31;56;-;-;-;-;3;17;-;-;0;30;-;-;15;27;-;-;-;-;22;100;1;4;-;-;-;-;0;30;-;-;-;-;7;9;-;-;-;-;-;-;2;2;-;-;1;1;3;4;1;2;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;60;-;-;-;-;-;-;-;-;-;-
2020M07;Tržič;1197;3538;677;1709;520;1829;16;33;63;282;1;5;7;37;-;-;41;54;-;-;8;36;1;16;-;-;17;38;3;7;2;2;-;-;-;-;5;43;-;-;1;29;1;7;32;105;-;-;-;-;172;456;78;417;-;-;6;14;1;24;-;-;2;2;25;90;5;20;3;11;-;-;22;60;-;-;-;-;3;3;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;27;-;-;3;7;-;-;1;3;-;-
2020M08;Tržič;1566;4579;930;2350;636;2229;28;45;23;144;1;1;4;21;-;-;33;79;-;-;-;-;0;31;-;-;41;112;-;-;2;7;1;6;-;-;32;221;1;2;1;32;-;-;38;175;-;-;-;-;263;813;85;270;-;-;29;84;1;20;-;-;3;5;20;76;1;4;0;2;-;-;-;-;-;-;8;8;6;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;4;-;-;7;35;-;-;2;7;-;-;4;15;-;-
2020M09;Tržič;852;1888;650;1314;202;574;13;18;2;18;-;-;3;8;-;-;-;-;-;-;-;-;0;10;-;-;6;8;-;-;8;14;-;-;-;-;24;78;-;-;1;18;-;-;0;20;-;-;-;-;117;330;2;6;-;-;4;4;-;-;-;-;1;1;7;8;3;6;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;13;-;-;-;-;-;-;4;12;-;-
2020M10;Tržič;180;752;162;461;18;291;4;5;-;-;-;-;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;10;-;-;-;-;3;71;-;-;1;32;-;-;-;-;-;-;-;-;2;36;-;-;-;-;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;0;124;-;-;-;-;-;-;0;2;-;-
