station id,station name,valid,količina padavin [mm],max padavine [mm],max višina snega [cm],št. dni z viharnim vetrom,št. dni z nevihto,št. dni s padavinami >0.1mm,št. dni s padavinami >1 mm,št. dni s padavinami >10 mm,št. dni s padavinami >20 mm,št. dni z dežjem >0.1 mm,št. dni z dežjem in snegom >0.1 mm,št. dni s snegom >0.1 mm,št. dni s snežno odejo,št. dni z meglo,št. dni s točo
_2859,TRŽIČ,2020M01,15.1,14.9,0,0,1,2,1,1,0,2,0,0,0,2,0
_2859,TRŽIČ,2020M02,48.9,22.8,1,0,1,8,3,2,1,7,1,2,1,0,0
_2859,TRŽIČ,2020M03,148.3,53.5,2,0,0,12,10,4,2,11,3,1,1,0,0
_2859,TRŽIČ,2020M04,5.4,2.6,0,0,0,3,3,0,0,3,0,0,0,0,0
_2859,TRŽIČ,2020M05,126.9,30.7,0,0,1,17,12,5,2,17,0,0,0,0,0
_2859,TRŽIČ,2020M06,162.8,37.8,0,0,1,13,11,5,4,13,0,0,0,0,0
_2859,TRŽIČ,2020M07,165.1,49.8,0,0,10,14,8,5,3,14,0,0,0,0,0
_2859,TRŽIČ,2020M08,172.9,32.2,0,0,9,15,11,8,3,15,0,0,0,0,0
_2859,TRŽIČ,2020M09,146.3,45,0,0,2,12,9,4,3,12,0,0,0,1,0
_2859,TRŽIČ,2020M10,140.7,42.5,0,0,0,16,14,4,2,16,0,0,0,0,0
_2859,TRŽIČ,2020M11,27.6,23.7,0,0,0,4,2,1,1,4,0,0,0,7,0
_2859,TRŽIČ,2020M12,316.5,61.1,35,0,1,14,12,8,8,12,3,4,20,14,0
_2859,TRŽIČ,2021M01,180.8,52.4,30,0,0,13,9,6,4,11,2,4,31,0,0
_2859,TRŽIČ,2021M02,82.8,33.3,14,0,0,8,5,3,2,6,0,2,5,0,0
_2859,TRŽIČ,2021M03,23.2,18.8,1,0,0,7,3,1,0,5,0,2,1,0,0
_2859,TRŽIČ,2021M04,58.6,24.6,0,0,2,13,10,2,1,13,2,0,0,0,0
_2859,TRŽIČ,2021M05,278.5,34.9,0,0,2,21,20,11,6,21,2,0,0,0,1
_2859,TRŽIČ,2021M06,37,19.5,0,0,2,7,6,1,0,7,0,0,0,0,0
_2859,TRŽIČ,2021M07,101.4,29.1,0,0,6,12,11,4,2,12,0,0,0,0,0
_2859,TRŽIČ,2021M08,153.9,54.4,0,0,5,16,13,5,2,16,0,0,0,0,0
_2859,TRŽIČ,2021M09,82.6,26,0,0,2,7,5,3,3,7,0,0,0,0,0
_2859,TRŽIČ,2021M10,55,34.2,0,0,0,11,7,1,1,11,0,0,0,0,0
_2859,TRŽIČ,2021M11,186.1,42.4,17,0,0,14,11,6,4,14,2,2,4,8,0
_2859,TRŽIČ,2021M12,59.5,19.8,39,0,0,8,7,2,0,6,1,2,31,6,0
_2859,TRŽIČ,2022M01,32.6,31.4,17,0,0,2,2,1,1,2,0,1,13,2,0
_2859,TRŽIČ,2022M02,27.6,19.3,0,0,0,6,4,1,0,6,0,0,0,1,0
_2859,TRŽIČ,2022M03,3.9,3.9,0,0,0,1,1,0,0,1,0,0,0,0,0
_2859,TRŽIČ,2022M04,133.4,29.8,0,0,1,15,12,6,2,15,2,0,0,0,1
_2859,TRŽIČ,2022M05,87.6,14.4,0,0,4,19,15,5,0,19,0,0,0,0,0
_2859,TRŽIČ,2022M06,58.7,10.1,0,0,6,10,8,1,0,10,0,0,0,0,0
_2859,TRŽIČ,2022M07,82.9,29.3,0,0,4,13,9,3,1,13,0,0,0,0,0
_2859,TRŽIČ,2022M08,57.4,17.2,0,1,3,15,11,3,0,15,0,0,0,0,0
_2859,TRŽIČ,2022M09,248.2,48.8,0,0,4,14,14,8,6,14,0,0,0,0,1
_2859,TRŽIČ,2022M10,72.2,29,0,0,0,6,4,3,2,6,0,0,0,0,0
_2859,TRŽIČ,2022M11,81.5,16.7,0,0,0,11,10,3,0,11,0,0,0,4,0
_2859,TRŽIČ,2022M12,150.2,33.7,1,0,0,15,12,6,2,13,2,3,3,2,0
_2859,TRŽIČ,2023M01,129.8,47.1,18,0,0,12,10,5,2,10,4,6,10,0,0
_2859,TRŽIČ,2023M02,18,17.1,2,0,0,3,1,1,0,2,0,2,2,0,0
_2859,TRŽIČ,2023M03,53.7,31.2,0,0,0,9,7,1,1,9,0,1,0,0,0
_2859,TRŽIČ,2023M04,107.6,48.8,0,0,0,15,11,2,2,15,0,0,0,0,0
_2859,TRŽIČ,2023M05,116.2,14.9,0,0,1,17,16,6,0,17,0,0,0,0,0
_2859,TRŽIČ,2023M06,145.9,40.2,0,0,4,17,14,5,2,17,0,0,0,0,1
_2859,TRŽIČ,2023M07,268.6,32.6,0,0,12,19,17,11,5,19,0,0,0,0,0
_2859,TRŽIČ,2023M08,309.6,105.1,0,0,5,10,10,6,4,10,0,0,0,0,0
_2859,TRŽIČ,2023M09,81.3,32.1,0,0,0,9,6,3,3,9,0,0,0,0,0
